author,date,topic,doc_nb,word_nb,char_nb,doc_ids
Boris Johnson,2019-10-30,P7,6.551020e-01,  90.4040816,  512.289796,uk.org.publicwhip/debate/2019-10-30a.368.3
Boris Johnson,2019-10-30,P8,2.244898e-02,   3.0979592,   17.555102,
Boris Johnson,2019-10-30,P9,2.040816e-03,   0.2816327,    1.595918,
Callum McCaig,2016-03-14,P1,8.849558e-04,   0.2389381,    1.398230,
Callum McCaig,2016-03-14,P10,8.849558e-04,   0.2389381,    1.398230,
Callum McCaig,2016-03-14,P2,9.734513e-03,   2.6283186,   15.380531,
Callum McCaig,2016-03-14,P3,8.849558e-04,   0.2389381,    1.398230,
Callum McCaig,2016-03-14,P4,8.849558e-04,   0.2389381,    1.398230,
Callum McCaig,2016-03-14,P5,8.849558e-04,   0.2389381,    1.398230,
Callum McCaig,2016-03-14,P6,5.318584e-01, 143.6017699,  840.336283,uk.org.publicwhip/debate/2016-03-14b.702.0
Callum McCaig,2016-03-14,P7,2.752212e-01,  74.3097345,  434.849558,
Callum McCaig,2016-03-14,P8,8.849558e-04,   0.2389381,    1.398230,
Callum McCaig,2016-03-14,P9,1.778761e-01,  48.0265487,  281.044248,
Carol Monaghan,2019-06-12,P1,3.448276e-03,   0.1793103,    1.162069,
Carol Monaghan,2019-06-12,P10,3.137931e-01,  16.3172414,  105.748276,uk.org.publicwhip/debate/2019-06-12e.657.5
Carol Monaghan,2019-06-12,P2,3.793103e-02,   1.9724138,   12.782759,
Carol Monaghan,2019-06-12,P3,3.448276e-03,   0.1793103,    1.162069,
Carol Monaghan,2019-06-12,P4,1.413793e-01,   7.3517241,   47.644828,
Carol Monaghan,2019-06-12,P5,2.103448e-01,  10.9379310,   70.886207,
Carol Monaghan,2019-06-12,P6,3.793103e-02,   1.9724138,   12.782759,
Carol Monaghan,2019-06-12,P7,3.448276e-03,   0.1793103,    1.162069,
Carol Monaghan,2019-06-12,P8,2.448276e-01,  12.7310345,   82.506897,
Carol Monaghan,2019-06-12,P9,3.448276e-03,   0.1793103,    1.162069,
Caroline Lucas,2016-09-07,P1,2.173913e-03,   0.2282609,    1.415217,
Caroline Lucas,2016-09-07,P10,1.760870e-01,  18.4891304,  114.632609,
Caroline Lucas,2016-09-07,P2,2.173913e-03,   0.2282609,    1.415217,
Caroline Lucas,2016-09-07,P3,2.173913e-03,   0.2282609,    1.415217,
Caroline Lucas,2016-09-07,P4,2.173913e-03,   0.2282609,    1.415217,
Caroline Lucas,2016-09-07,P5,2.173913e-03,   0.2282609,    1.415217,
Caroline Lucas,2016-09-07,P6,7.847826e-01,  82.4021739,  510.893478,uk.org.publicwhip/debate/2016-09-07b.333.3
